ID_TA,Number of Reviews
d1422347,9.0
d10039385,38.0
d1955642,34.0
d7930385,13.0
d6921091,183.0
d10687491,138.0
d3988020,33.0
d7262297,18.0
d11928722,6.0
d12218015,nan
d696107,16.0
d11931926,9.0
d10284879,3.0
d11506446,5.0
d1972408,59.0
d6434856,224.0
d10604702,17.0
d1051016,388.0
d4913347,2.0
d6214442,3.0
d4923595,8.0
d2572835,41.0
d12143343,37.0
d5562412,124.0
d4221315,nan
d991720,35.0
d12655614,57.0
d1573266,341.0
d1464610,650.0
d10780749,11.0
d12116840,7.0
d1806999,277.0
d1986583,731.0
d12173937,68.0
d11506345,39.0
d694690,nan
d719527,262.0
d8861553,51.0
d12063527,34.0
d10417602,4.0
d12562807,2.0
d1192805,1375.0
d5874770,nan
d5007124,105.0
d10672204,27.0
d2044335,82.0
d1418299,47.0
d4354297,36.0
d8483014,15.0
d4844748,26.0
d10028904,8.0
d11956851,4.0
d10763390,nan
d12235014,nan
d12999266,19.0
d1825507,246.0
d8853149,23.0
d795906,95.0
d1887491,283.0
d6437762,2.0
d1672341,925.0
d11855325,14.0
d5583276,59.0
d4154274,101.0
d10151656,26.0
d743442,339.0
d2669660,179.0
d814393,21.0
d1972803,212.0
d10520812,nan
d8635875,20.0
d8603258,26.0
d2068893,356.0
d3580920,43.0
d3385593,95.0
d3844290,31.0
d868952,118.0
d11931905,66.0
d12958773,3.0
d1495437,200.0
d4912904,3.0
d5792887,6.0
d7171607,224.0
d6847165,162.0
d4022685,377.0
d6171348,393.0
d13206964,16.0
d12350823,2.0
d10159551,35.0
d12827306,nan
d4329402,383.0
d5509753,nan
d783448,50.0
d4153812,27.0
d1024440,545.0
d12667415,12.0
d1098836,3.0
d3395952,38.0
d800524,40.0
d8807543,7.0
d8050474,14.0
d3644278,94.0
d7107093,85.0
d1350446,7.0
d2483369,47.0
d10467233,nan
d1359321,nan
d1729457,557.0
d1022947,19.0
d6028603,29.0
d718739,114.0
d5967029,21.0
d2399643,112.0
d5895612,5.0
d986484,nan
d6708286,2.0
d6694423,170.0
d12629402,nan
d11636218,16.0
d2236734,57.0
d10455044,22.0
d1087942,337.0
d4083533,137.0
d10310355,7.0
d10052099,2.0
d1117744,6.0
d5577942,37.0
d7082849,3.0
d5971505,586.0
d12115169,nan
d1332251,175.0
d10594567,5.0
d7215395,17.0
d1754535,99.0
d8548032,60.0
d8361777,10.0
d2032311,226.0
d7650837,210.0
d12448243,nan
d12702233,12.0
d2689902,116.0
d11661326,152.0
d3928905,240.0
d12207835,2.0
d12665620,15.0
d1053144,173.0
d5494227,10.0
d7680806,2.0
d13370579,nan
d3602485,42.0
d12862491,14.0
d3367826,290.0
d1016466,3.0
d5971911,5.0
d784551,33.0
d4590297,74.0
d13325878,nan
d3783117,28.0
d4443977,205.0
d7612541,35.0
d12002631,5.0
d8119506,30.0
d9825285,128.0
d7710489,8.0
d10335269,4.0
d12188357,46.0
d5482802,134.0
d1499212,96.0
d7933266,14.0
d2530907,55.0
d3400483,49.0
d694802,160.0
d4757422,451.0
d13141931,nan
d2709829,185.0
d1331247,136.0
d2724172,291.0
d4769496,23.0
d5795146,58.0
d3390257,32.0
d1011646,199.0
d5986196,2.0
d1388951,1055.0
d7606394,10.0
d1077449,23.0
d7176679,281.0
d8450353,73.0
d4420931,50.0
d4476187,13.0
d11868959,3.0
d13133122,3.0
d11805973,nan
d7374420,26.0
d8677828,11.0
d2385502,118.0
d4313264,78.0
d5520999,2.0
d13185766,4.0
d12362966,4.0
d944593,37.0
d2210851,785.0
d11737175,33.0
d10329433,11.0
d731371,280.0
d5555173,175.0
d8145227,323.0
d3193623,3.0
d2109470,202.0
d8339869,4.0
d11855874,69.0
d7243762,8.0
d2479676,273.0
d3257066,88.0
d5272008,232.0
d10440503,nan
d9803833,252.0
d8715574,6.0
d2433737,155.0
d5041747,3.0
d5822640,12.0
d13188661,3.0
d2688769,102.0
d10373822,48.0
d8852939,18.0
d1526715,47.0
d9458997,41.0
d783373,293.0
d11626543,4.0
d10333765,19.0
d10457192,318.0
d4043043,88.0
d4506159,23.0
d5326143,2.0
d2543425,148.0
d10583686,4.0
d9768059,33.0
d5244259,89.0
d5223366,2.0
d12978101,7.0
d718639,283.0
d7753889,8.0
d5263988,7.0
d3135266,532.0
d1747456,377.0
d4544050,76.0
d778150,238.0
d2319901,58.0
d6632297,109.0
d10497384,41.0
d815014,658.0
d10699414,9.0
d5825901,nan
d6774552,254.0
d7230019,115.0
d3700723,398.0
d1104230,76.0
d697018,3.0
d6439710,85.0
d9557787,134.0
d6638186,21.0
d11956826,10.0
d6609366,11.0
d3443816,78.0
d866701,62.0
d5608756,27.0
d2048996,21.0
d2221350,23.0
d8766960,49.0
d1478131,61.0
d4591384,41.0
d9807331,2.0
d2699375,55.0
d10388896,3.0
d12866352,4.0
d10681397,3.0
d4545467,2.0
d6779368,269.0
d7196142,32.0
d6484261,160.0
d4112575,267.0
d10754130,7.0
d2542743,116.0
d7991853,70.0
d12662005,7.0
d12542285,4.0
d4172501,70.0
d12728708,6.0
d7256188,63.0
d6131976,80.0
d785323,34.0
d10522877,4.0
d13196459,2.0
d13124587,nan
d6827920,6.0
d12200200,nan
d12687123,3.0
d2042677,601.0
d6384835,14.0
d5496496,353.0
d4562543,70.0
d5808791,43.0
d6485904,10.0
d7799210,16.0
d8621309,2.0
d3185313,27.0
d12182388,4.0
d11945812,8.0
d793212,266.0
d6875143,315.0
d816577,34.0
d5870703,5.0
d4769811,10.0
d8051141,9.0
d8496308,115.0
d5533664,6.0
d4149510,9.0
d7680751,3.0
d3183964,14.0
d2370296,1365.0
d10508729,7.0
d953343,219.0
d10100590,nan
d8598426,31.0
d6873876,153.0
d12266029,8.0
d12195321,nan
d1027534,186.0
d12842685,7.0
d4700334,7.0
d3912071,81.0
d6732753,129.0
d7934344,nan
d1903493,31.0
d1344537,52.0
d6226798,32.0
d11802018,31.0
d5432865,293.0
d7779011,nan
d4089416,27.0
d743845,7.0
d12194056,44.0
d1893525,160.0
d3826363,54.0
d6017541,39.0
d7806459,283.0
d12423643,14.0
d1177586,547.0
d4226099,26.0
d12160475,3.0
d783638,1137.0
d716368,433.0
d5243139,3.0
d7361083,71.0
d7727854,17.0
d7724824,18.0
d3505236,35.0
d12077852,47.0
d778842,37.0
d12106142,16.0
d7317903,77.0
d5313685,nan
d8803344,36.0
d4452999,107.0
d1336577,43.0
d10791499,2.0
d7098361,7.0
d11847106,59.0
d1998515,135.0
d2433595,151.0
d4581069,141.0
d5772572,60.0
d3538265,104.0
d1898635,67.0
d13075622,6.0
d815214,66.0
d12564647,10.0
d9735690,28.0
d803011,596.0
d12365788,nan
d959191,7.0
d6902751,42.0
d1035581,71.0
d10836855,3.0
d11670793,3.0
d8360497,5.0
d2444564,135.0
d7375787,nan
d11500512,14.0
d7906796,43.0
d8372674,29.0
d12448277,24.0
d10464890,9.0
d10618227,9.0
d7115905,297.0
d7138824,62.0
d10485176,62.0
d11778872,61.0
d11903360,nan
d8307231,4.0
d2219904,417.0
d5439092,6.0
d9607580,147.0
d4768287,5.0
d1504897,784.0
d9746976,59.0
d719507,2045.0
d2023513,38.0
d970294,8.0
d10629933,nan
d4768198,42.0
d3378461,416.0
d10148734,3.0
d2194751,8.0
d2034962,5.0
d3457586,48.0
d7283059,11.0
d2318128,682.0
d696292,94.0
d1125200,489.0
d8122579,45.0
d6697300,12.0
d10412915,35.0
d1226986,115.0
d775205,118.0
d6874042,3.0
d8506748,nan
d11865272,6.0
d1127205,25.0
d7134848,52.0
d8825345,34.0
d7352564,13.0
d12705897,5.0
d8339763,9.0
d7124772,3.0
d10629877,2.0
d7823929,14.0
d4955432,706.0
d11180473,2.0
d4271220,42.0
d4156716,13.0
d5944284,3.0
d12166463,49.0
d1388953,143.0
d2697338,10.0
d11932012,26.0
d3389313,69.0
d7806781,8.0
d8178584,30.0
d3804383,nan
d10358815,76.0
d11872842,12.0
d4503607,31.0
d1319418,134.0
d2529638,689.0
d12383658,nan
d783358,295.0
d3935278,63.0
d2697148,3.0
d10051117,166.0
d3850456,109.0
d1344143,152.0
d4917289,238.0
d2254473,68.0
d12980561,18.0
d1884726,16.0
d9832097,39.0
d4593934,10.0
d7732807,44.0
d13124257,22.0
d9747423,2.0
d2643532,75.0
d10642154,6.0
d12018135,nan
d8339610,4.0
d10823093,17.0
d5122148,6.0
d7207015,96.0
d5978985,4.0
d2514286,57.0
d12538210,47.0
d5444916,31.0
d8561195,4.0
d6452969,27.0
d7319153,96.0
d12940712,2.0
d12596674,nan
d3694050,86.0
d3571043,10.0
d7124047,5.0
d12624794,51.0
d2702246,274.0
d8459337,116.0
d1044030,56.0
d12478826,17.0
d8341072,7.0
d3385130,4.0
d8469748,nan
d6945197,53.0
d5804248,nan
d8816395,5.0
d12184707,8.0
d718089,244.0
d715443,66.0
d694350,50.0
d12309603,2.0
d12439082,13.0
d3254498,1311.0
d1058712,408.0
d1035132,nan
d4872824,4.0
d720067,857.0
d7622114,31.0
d6404423,94.0
d10134516,4.0
d5812499,74.0
d6705908,27.0
d8339914,nan
d2153468,132.0
d8448390,37.0
d7740465,9.0
d4168243,9.0
d10758218,5.0
d8703519,24.0
d7699871,74.0
d8408963,84.0
d991352,230.0
d12408653,nan
d8488325,3.0
d7123547,26.0
d4102703,6.0
d10212587,14.0
d8408345,4.0
d2413490,17.0
d1039201,62.0
d4888776,nan
d12266129,23.0
d6714816,11.0
d12692646,38.0
d11667031,nan
d10425713,42.0
d1098782,12.0
d2184298,204.0
d9599183,9.0
d11809315,14.0
d7319705,164.0
d7607945,35.0
d11858341,4.0
d12319255,129.0
d2001274,197.0
d7810268,220.0
d1036474,64.0
d6220306,33.0
d12715824,7.0
d4769994,nan
d4198070,76.0
d13073178,nan
d1881282,430.0
d12332633,14.0
d997266,2.0
d4301864,427.0
d7319338,143.0
d1341739,95.0
d8529308,5.0
d10810531,3.0
d5614548,4.0
d10838686,nan
d4678527,36.0
d8810565,403.0
d1747477,nan
d2146060,127.0
d2660543,705.0
d8097289,27.0
d2642824,109.0
d5982169,39.0
d9804702,6.0
d5614765,19.0
d1341426,72.0
d4784748,23.0
d7123237,46.0
d781861,1026.0
d1819995,713.0
d6857186,23.0
d810152,532.0
d7124136,4.0
d8525972,23.0
d4106502,160.0
d10386740,91.0
d2446474,7.0
d7277827,3.0
d8126631,53.0
d5982084,10.0
d3833027,39.0
d6891743,86.0
d12510659,2.0
d5870217,34.0
d10760483,nan
d7112323,15.0
d11444976,11.0
d10335864,nan
d8819260,69.0
d4461603,52.0
d3194626,35.0
d787095,249.0
d6661880,3.0
d719192,509.0
d3678813,142.0
d12899302,nan
d4010946,15.0
d1879378,140.0
d3524384,8.0
d2708004,95.0
d1035387,81.0
d7137926,8.0
d3820818,10.0
d730317,17.0
d12590374,nan
d719014,733.0
d10319763,14.0
d2067580,36.0
d1113438,125.0
d2166595,34.0
d8630212,103.0
d7337366,272.0
d2392183,220.0
d6706233,15.0
d12882383,4.0
d8338584,13.0
d2362802,267.0
d781957,286.0
d1319399,142.0
d10813188,14.0
d4830960,3.0
d5854970,42.0
d1025114,124.0
d6989056,10.0
d4086839,31.0
d4985778,25.0
d12966411,nan
d6954719,16.0
d733358,131.0
d6704519,605.0
d7171704,4.0
d4259609,nan
d10539201,8.0
d2386717,86.0
d3189408,82.0
d3536735,6.0
d6106518,40.0
d9457704,6.0
d10797811,4.0
d10632626,3.0
d1036988,50.0
d8334824,36.0
d7336998,202.0
d2140484,34.0
d4919349,9.0
d3212144,11.0
d8092703,4.0
d11719292,13.0
d2445463,117.0
d1570806,428.0
d4174129,246.0
d784338,126.0
d752032,36.0
d4541839,14.0
d6914693,4.0
d12667696,47.0
d12516531,40.0
d7029457,2.0
d13231875,20.0
d10263838,2.0
d6641339,5.0
d8862199,nan
d1016726,63.0
d3784313,15.0
d8625395,36.0
d887355,1152.0
d12354023,3.0
d9857981,5.0
d6684318,12.0
d12069867,6.0
d8652132,10.0
d7124341,5.0
d1965314,193.0
d5801226,129.0
d10796024,50.0
d8767790,63.0
d8143877,15.0
d5870127,3.0
d6691954,48.0
d1127132,3.0
d7277821,246.0
d7818495,17.0
d12327975,7.0
d10123084,nan
d6995696,56.0
d11810315,457.0
d13302247,3.0
d5851106,11.0
d8001824,59.0
d4282127,833.0
d10076172,80.0
d8448187,96.0
d12500016,6.0
d10056583,97.0
d6889363,139.0
d6896845,12.0
d7046263,285.0
d6999444,4.0
d12364690,27.0
d3785869,24.0
d7680732,44.0
d4107764,69.0
d5486404,7.0
d2057144,556.0
d3186561,372.0
d10332966,3.0
d13239044,2.0
d12322295,169.0
d7085715,91.0
d8656702,42.0
d5981508,31.0
d8608692,126.0
d12694928,12.0
d4930322,36.0
d12545443,2.0
d3542768,13.0
d1438164,243.0
d717307,384.0
d11044959,6.0
d5821156,40.0
d8435337,21.0
d718615,1059.0
d6456682,10.0
d1039351,19.0
d10617553,6.0
d7629582,6.0
d4291184,151.0
d7231072,16.0
d7812447,76.0
d13236358,nan
d8603981,10.0
d13327761,3.0
d5509360,5.0
d2632482,239.0
d7345164,37.0
d10342255,37.0
d8638735,59.0
d2630067,393.0
d1905526,121.0
d11094480,nan
d802597,76.0
d12409106,19.0
d803081,26.0
d6420536,19.0
d7745229,8.0
d10838865,3.0
d2708382,118.0
d1948136,173.0
d8568981,31.0
d2368961,402.0
d10400278,302.0
d801937,40.0
d6737372,705.0
d7691118,95.0
d6635103,33.0
d8669950,9.0
d1113237,268.0
d5572687,7.0
d10079515,2.0
d12797605,7.0
d8659203,138.0
d990632,1466.0
d3393371,22.0
d3216878,137.0
d2462742,330.0
d13090092,8.0
d4876824,63.0
d7814139,24.0
d7892245,58.0
d13076122,4.0
d10456901,7.0
d1541347,669.0
d2623241,7.0
d7294439,250.0
d7892893,2.0
d753065,100.0
d5982113,6.0
d3801305,70.0
d7951489,66.0
d11914481,7.0
d10626952,17.0
d1909726,7.0
d10214378,11.0
d2439566,24.0
d12621451,93.0
d8338534,3.0
d1937928,510.0
d8463610,nan
d1965410,78.0
d8614632,50.0
d11966690,39.0
d4341605,133.0
d12474507,32.0
d1945666,208.0
d11932386,9.0
d9587018,15.0
d5243226,3.0
d12713187,57.0
d1378994,856.0
d12315958,4.0
d3609984,2.0
d12962862,39.0
d10453899,nan
d3754512,40.0
d970146,187.0
d1389564,187.0
d9990090,15.0
d2288576,22.0
d1023284,109.0
d3579362,66.0
d3676236,5.0
d8773628,7.0
d12702853,3.0
d991547,796.0
d5822067,329.0
d8834438,97.0
d12801419,2.0
d12200079,189.0
d8516221,3.0
d5988347,3.0
d4207070,205.0
d8707456,4.0
d4943041,90.0
d1083281,315.0
d697340,167.0
d1524354,1435.0
d7735788,136.0
d4882877,546.0
d3648199,5.0
d6577618,12.0
d10276602,12.0
d944580,3.0
d4770056,3.0
d10431626,41.0
d9712381,47.0
d779260,61.0
d13220609,7.0
d9975834,22.0
d5443361,4.0
d12908818,2.0
d4925409,19.0
d954325,5.0
d3612574,47.0
d2338056,128.0
d807727,155.0
d7398428,369.0
d1024390,29.0
d3877187,16.0
d7001120,73.0
d1039348,7.0
d11700457,9.0
d4767785,411.0
d8410842,24.0
d8397475,2.0
d10468664,29.0
d11737406,3.0
d10763563,2.0
d8089203,4.0
d10084553,3.0
d2101668,218.0
d10145653,6.0
d11680753,5.0
d12185336,16.0
d775054,36.0
d10433163,371.0
d6579187,61.0
d4055970,42.0
d1315077,355.0
d2492091,290.0
d11734152,4.0
d8425520,19.0
d8491751,67.0
d7250541,24.0
d895816,261.0
d4150394,23.0
d1116702,195.0
d3611385,3.0
d11677886,nan
d1326615,139.0
d7124030,2.0
d9992926,12.0
d1431025,335.0
d8818934,13.0
d11772793,24.0
d1074890,220.0
d5043737,147.0
d5048805,10.0
d3138524,229.0
d5048802,nan
d7303597,nan
d3247892,2088.0
d1990038,163.0
d1018386,22.0
d9846538,8.0
d8113695,28.0
d10800939,7.0
d13007626,nan
d10401371,9.0
d5859949,198.0
d1346452,nan
d2091957,344.0
d12347819,71.0
d697530,666.0
d6582000,37.0
d10188037,48.0
d800647,394.0
d4911274,9.0
d4598159,4.0
d1815555,164.0
d7794126,109.0
d8632788,25.0
d1557197,400.0
d11883464,8.0
d8483182,46.0
d886816,4.0
d4167559,82.0
d10092998,nan
d10153898,7.0
d4567329,34.0
d1754545,118.0
d5532296,33.0
d9604407,46.0
d2453603,27.0
d3136754,321.0
d1039595,70.0
d4561240,5.0
d3539613,48.0
d2307161,nan
d10373292,42.0
d4770041,nan
d12991859,5.0
d6999227,14.0
d12644299,nan
d6994732,17.0
d5513947,14.0
d9999269,18.0
d970170,40.0
d12081807,74.0
d12357368,5.0
d1113085,17.0
d950581,77.0
d12842074,17.0
d12904026,2.0
d775516,383.0
d1650483,139.0
d6404444,760.0
d8093163,88.0
d10509786,14.0
d12437980,nan
d7137343,214.0
d6908352,6.0
d1902110,36.0
d2329362,183.0
d1112750,557.0
d10780634,4.0
d10207126,56.0
d13139768,3.0
d10373351,50.0
d6868910,2.0
d1052099,80.0
d8338481,8.0
d1317372,193.0
d8334746,182.0
d5243316,6.0
d9977723,43.0
d7676597,4.0
d12985861,9.0
d808558,7.0
d3297143,696.0
d10380024,nan
d959091,48.0
d1425857,208.0
d2315443,144.0
d7124713,2.0
d7274034,69.0
d4604257,20.0
d2643544,125.0
d13313707,2.0
d13125675,nan
d2095854,271.0
d4302455,26.0
d5967573,101.0
d947116,42.0
d3498715,3.0
d6155758,366.0
d3721229,24.0
d6033925,12.0
d12058160,8.0
d1422238,40.0
d7178335,4.0
d5854090,55.0
d13126079,5.0
d1458461,186.0
d5988574,200.0
d1405627,866.0
d3609605,19.0
d2008527,5.0
d12431342,11.0
d2717982,45.0
d12605845,3.0
d10670227,17.0
d12846131,7.0
d9748123,7.0
d2149858,104.0
d5966329,12.0
d10302453,3.0
d3871778,140.0
d7623482,3.0
d9712724,3.0
d10456614,48.0
d6681473,47.0
d8018787,16.0
d12716170,58.0
d12981140,2.0
d8339935,3.0
d718325,460.0
d6608365,169.0
d1062100,78.0
d9994264,3.0
d8534807,5.0
d6952841,70.0
d1344179,55.0
d9802625,10.0
d12029240,nan
d8860361,35.0
d1053283,20.0
d4454425,1916.0
d966587,55.0
d7349890,94.0
d981805,nan
d3844279,49.0
d7710502,nan
d10771833,18.0
d2392634,86.0
d7806471,4.0
d13287254,4.0
d2589836,436.0
d6439186,141.0
d7612983,32.0
d6180052,28.0
d8802868,80.0
d5220238,nan
d2323088,565.0
d1746990,21.0
d815184,210.0
d1423520,14.0
d1035810,228.0
d3490630,5.0
d945300,nan
d5503450,673.0
d5279781,756.0
d4186763,188.0
d7205628,21.0
d1334300,2.0
d7094757,131.0
d4762589,9.0
d808743,2.0
d3136347,307.0
d1941125,84.0
d8605603,80.0
d7778463,20.0
d6680272,6.0
d2420104,492.0
d731627,735.0
d4768928,46.0
d1370741,7.0
d2365208,133.0
d10459859,7.0
d3916383,148.0
d7917841,12.0
d13223599,6.0
d7246425,12.0
d11672593,60.0
d5894983,2.0
d8560472,60.0
d5861784,17.0
d12559641,3.0
d12430435,18.0
d8395025,28.0
d4468410,17.0
d3244374,67.0
d6460291,44.0
d1752504,408.0
d5524876,10.0
d8731904,3.0
d3737057,140.0
d897836,61.0
d1006775,221.0
d7940490,8.0
d6370326,39.0
d11734228,20.0
d1111830,44.0
d7224048,113.0
d12330132,2.0
d10373036,6.0
d2006575,48.0
d6553222,6.0
d11716629,9.0
d5979455,4.0
d6514472,21.0
d5220192,23.0
d8764109,194.0
d8828439,11.0
d10537460,55.0
d697096,442.0
d1118044,162.0
d5005016,67.0
d696066,140.0
d4769281,6.0
d5122825,10.0
d1077896,1550.0
d5588411,192.0
d7711663,207.0
d12857183,5.0
d2355888,498.0
d949573,153.0
d5489021,nan
d1044602,250.0
d10846806,196.0
d10225695,2.0
d1408152,454.0
d10809766,21.0
d5002881,2.0
d12406954,nan
d7309052,130.0
d9835972,18.0
d2483661,191.0
d1095852,519.0
d7897538,46.0
d1026608,134.0
d803024,134.0
d7706078,27.0
d3973305,58.0
d6561120,41.0
d1453548,499.0
d2011704,1190.0
d7284259,108.0
d10310333,16.0
d6420170,30.0
d12186479,5.0
d12233186,6.0
d6572019,9.0
d5263948,140.0
d1905263,12.0
d1387194,498.0
d7696927,171.0
d12400902,7.0
d7096186,nan
d10643047,nan
d12616797,3.0
d10090935,6.0
d733312,3.0
d3525767,59.0
d1755708,518.0
d5897282,3.0
d7796282,1549.0
d2181700,157.0
d5122024,3.0
d2076068,940.0
d8591199,11.0
d12682249,nan
d11718304,2.0
d3471533,191.0
d2284826,453.0
d10433103,15.0
d10328491,13.0
d10250645,nan
d1384368,815.0
d2166609,132.0
d8798877,229.0
d3786355,20.0
d2183447,76.0
d2105853,689.0
d12670673,2.0
d12069449,22.0
d5512519,6.0
d11910214,2.0
d8825877,25.0
d6384182,7.0
d1991180,389.0
d2060541,326.0
d2161403,30.0
d1051991,nan
d4273302,63.0
d2292627,28.0
d11726692,nan
d2175651,300.0
d2350990,28.0
d8621797,106.0
d4149068,6.0
d810866,69.0
d2399166,537.0
d8338615,2.0
d8769970,335.0
d10810357,5.0
d10729662,nan
d2319065,321.0
d8771795,2.0
d12981974,4.0
d4374982,13.0
d2445176,1297.0
d1899406,183.0
d8669398,4.0
d8444438,8.0
d1095975,652.0
d12412041,7.0
d2199491,28.0
d696422,932.0
d3621730,15.0
d11749811,5.0
d8734326,321.0
d7383886,153.0
d7813696,47.0
d1350447,78.0
d7617636,4.0
d3618411,140.0
d7253729,46.0
d7153938,8.0
d7314337,5.0
d7817857,9.0
d12146830,10.0
d10151231,154.0
d4607347,131.0
d8838214,31.0
d1389833,28.0
d2223620,4.0
d10273776,11.0
d8814252,3.0
d1496958,132.0
d12416180,18.0
d8856013,20.0
d8610918,19.0
d8586972,12.0
d4260268,40.0
d13169262,3.0
d8841809,36.0
d1725986,312.0
d13126274,nan
d12147333,2.0
d8737348,3.0
d1571751,23.0
d8677564,619.0
d3576214,23.0
d938784,10.0
d831804,239.0
d8434474,3.0
d1937881,998.0
d11921719,16.0
d731659,323.0
d1531847,170.0
d8636387,20.0
d2004784,109.0
d11773873,26.0
d718707,195.0
d1012379,651.0
d3936685,34.0
d877245,13.0
d7693548,3.0
d5776107,47.0
d8799214,10.0
d7274301,11.0
d13196881,2.0
d8068669,32.0
d5122705,3.0
d1007701,48.0
d12982741,4.0
d3378206,74.0
d2707175,104.0
d8534663,38.0
d11910921,18.0
d12641390,29.0
d3184197,627.0
d4923312,11.0
d10737209,9.0
d2715538,61.0
d5262720,51.0
d1893495,819.0
d11965233,7.0
d2692555,73.0
d7654182,176.0
d3707916,354.0
d8649287,12.0
d3605468,2.0
d12670532,2.0
d7123352,5.0
d1522151,10.0
d6656786,280.0
d2720541,10.0
d12501937,25.0
d716347,940.0
d6434937,31.0
d8745660,9.0
d10041438,19.0
d3976069,113.0
d13143302,3.0
d10028077,18.0
d9801220,31.0
d8262489,6.0
d948760,149.0
d9601184,88.0
d2400906,760.0
d3978016,15.0
d6732755,11.0
d4022699,32.0
d12158078,2.0
d1012614,70.0
d1389239,183.0
d7894534,6.0
d785676,170.0
d696033,280.0
d697297,28.0
d2490326,6.0
d3388662,55.0
d8751736,102.0
d7656418,38.0
d2642005,39.0
d719831,119.0
d717815,373.0
d2321189,971.0
d878409,227.0
d13196483,nan
d720793,697.0
d5887525,10.0
d2501949,454.0
d1044884,nan
d8684377,4.0
d6920126,nan
d8466363,5.0
d9994230,72.0
d1961665,nan
d6223165,7.0
d2058315,147.0
d12173633,3.0
d4769189,nan
d12916605,5.0
d9872344,10.0
d11912826,118.0
d4464050,26.0
d4220190,347.0
d12171148,3.0
d10456972,44.0
d13142340,nan
d7626419,74.0
d12481595,28.0
d6018228,375.0
d991837,214.0
d2213354,109.0
d11882988,8.0
d4916072,7.0
d12820231,3.0
d6454509,35.0
d10712260,4.0
d1014648,5.0
d7305394,261.0
d8404438,37.0
d731189,111.0
d5865385,4.0
d9742583,7.0
d11444479,16.0
d8630972,284.0
d2652274,94.0
d4413113,23.0
d8449934,26.0
d5293365,5.0
d7593254,3.0
d8796900,52.0
d11746314,10.0
d3230371,96.0
d7742610,5.0
d12113953,10.0
d7930389,28.0
d4096809,64.0
d6427860,12.0
d3793075,42.0
d11979613,6.0
d7991757,125.0
d12438432,3.0
d3343045,164.0
d4325116,180.0
d12328638,3.0
d695177,16.0
d3632811,36.0
d10259435,37.0
d6612284,53.0
d753057,71.0
d3347548,348.0
d4721855,9.0
d5894020,72.0
d10305548,134.0
d12964321,10.0
d7779616,94.0
d10137315,5.0
d6600118,195.0
d4758734,268.0
d9704575,4.0
d694694,140.0
d12705373,nan
d1809044,858.0
d12031009,129.0
d988026,448.0
d7332810,59.0
d12972125,8.0
d6420257,2.0
d4271846,8.0
d8695143,859.0
d4911062,4.0
d4696304,84.0
d12933562,7.0
d3253049,8.0
d12787416,nan
d7885903,9.0
d5220259,38.0
d2720260,124.0
d795376,146.0
d2478629,159.0
d7699725,22.0
d3417328,3962.0
d2546968,254.0
d1846863,125.0
d5086054,111.0
d12169186,3.0
d3309218,37.0
d4770074,7.0
d8564386,2.0
d10682092,3.0
d805286,62.0
d1749956,45.0
d2514252,nan
d12139506,4.0
d7621364,61.0
d1981718,177.0
d10156461,9.0
d4701691,50.0
d3463854,78.0
d9585530,42.0
d11916438,7.0
d10432315,11.0
d9769924,5.0
d13002965,3.0
d11789094,2.0
d1173464,664.0
d1034586,263.0
d7219725,97.0
d9752531,264.0
d6918158,8.0
d7239191,19.0
d12272347,4.0
d7693042,127.0
d5799869,14.0
d2006434,17.0
d1344087,14.0
d4794879,69.0
d5970161,79.0
d13078963,3.0
d7736362,16.0
d8805300,43.0
d6163786,38.0
d8065425,841.0
d8071044,95.0
d7145772,107.0
d7104794,4.0
d5048725,9.0
d8657915,76.0
d12132220,11.0
d7375924,5.0
d10809715,532.0
d1993113,4.0
d12982111,6.0
d12911894,7.0
d12706207,nan
d11633782,3.0
d11906480,17.0
d7378989,12.0
d776787,307.0
d3767834,69.0
d4260188,233.0
d8418674,30.0
d6937506,40.0
d12490975,26.0
d5965943,33.0
d13128539,nan
d12858564,2.0
d8117836,3.0
d808146,45.0
d13385549,2.0
d11878056,nan
d12269438,34.0
d4776538,18.0
d944336,396.0
d695934,292.0
d1753422,207.0
d1009645,1309.0
d12439871,149.0
d3135957,54.0
d2238042,13.0
d7705163,4.0
d3674721,62.0
d1087795,659.0
d3167413,12.0
d1021654,3.0
d3326424,33.0
d7813912,82.0
d6561688,61.0
d10045612,8.0
d4472311,7.0
d3380635,9.0
d8263657,51.0
d11667056,nan
d3541579,101.0
d10264522,93.0
d1317110,12.0
d8341637,5.0
d10253591,151.0
d2211068,71.0
d12786409,11.0
d5949091,nan
d2093030,147.0
d12341553,10.0
d10082385,254.0
d3357149,61.0
d3313923,71.0
d1200726,1074.0
d7123882,3.0
d1645691,91.0
d1418088,7.0
d4924366,30.0
d8289723,324.0
d5978922,177.0
d8834602,13.0
d4925360,10.0
d3838733,74.0
d2503238,70.0
d1036160,13.0
d1068371,141.0
d1327109,36.0
d12511809,nan
d1898909,651.0
d991500,70.0
d10247952,nan
d2285761,34.0
d3804929,13.0
d731545,371.0
d2714595,163.0
d8131457,234.0
d3296991,398.0
d10751007,nan
d5531503,11.0
d2017603,1319.0
d4769225,47.0
d7929041,28.0
d8263590,42.0
d8021257,89.0
d3943898,335.0
d7994758,11.0
d5607884,4.0
d2199597,203.0
d1074894,2.0
d12357250,nan
d1931526,46.0
d10520577,110.0
d9737100,52.0
d5493285,nan
d7975549,61.0
d2707700,129.0
d10530952,2.0
d2480030,32.0
